GTEx Gene,Count,GTEx Gene Name,KL Divergence,TCGA Gene ID,TCGA Gene Name,index
ENSG00000188536.12,368,HBA2,0.0025981284398016,ENSG00000188536.13,HBA2,16728
ENSG00000206172.8,317,HBA1,0.0008167260321002,ENSG00000206172.8,HBA1,20365
ENSG00000244734.3,305,HBB,0.0018456220953783,ENSG00000244734.4,HBB,37327
ENSG00000258227.6,286,CLEC5A,0.0029198173345804,ENSG00000258227.7,CLEC5A,44164
ENSG00000244694.7,244,PTCHD4,0.0011710376037682,ENSG00000244694.7,PTCHD4,37309
ENSG00000223609.7,213,HBD,0.0038027920805103,ENSG00000223609.11,HBD,24789
ENSG00000243715.1,206,CACNA2D3-AS1,0.0031673076172419,ENSG00000243715.1,CACNA2D3-AS1,36883
ENSG00000264940.4,188,SNORD3C,0.0026030806375668,ENSG00000264940.5,SNORD3C,48022
ENSG00000262870.1,179,CYCSP40,0.0007997609040351,ENSG00000262870.1,CYCSP40,47166
ENSG00000162598.13,176,C1orf87,0.0021682074486641,ENSG00000162598.13,C1orf87,10765
ENSG00000244681.1,167,MTHFD2P1,0.0025825487269931,ENSG00000244681.1,MTHFD2P1,37303
ENSG00000230746.1,166,AC006007.1,0.0046456114963378,ENSG00000230746.2,AC006007.1,29660
ENSG00000233148.2,166,SYF2P2,0.0185978970493786,ENSG00000233148.2,SYF2P2,31285
ENSG00000149968.11,163,MMP3,0.0033059947120807,ENSG00000149968.12,MMP3,9273
ENSG00000223039.1,159,RN7SKP268,0.0040187629388871,ENSG00000223039.1,RN7SKP268,24514
ENSG00000130513.6,158,GDF15,0.0008285801618137,ENSG00000130513.6,GDF15,6276
ENSG00000007908.15,156,SELE,0.0014219600358438,ENSG00000007908.16,SELE,192
ENSG00000004939.13,156,SLC4A1,0.0025678372645996,ENSG00000004939.15,SLC4A1,69
ENSG00000241635.7,143,UGT1A1,0.0076943605279412,ENSG00000241635.8,UGT1A1,36040
ENSG00000181092.9,139,ADIPOQ,0.0055578997993114,ENSG00000181092.10,ADIPOQ,14989
ENSG00000227764.1,134,LINC01693,0.0026064982125638,ENSG00000227764.2,LINC01693,27640
ENSG00000259710.1,134,NUTF2P6,0.0048791558504045,ENSG00000259710.1,NUTF2P6,45386
ENSG00000115602.16,132,IL1RL1,0.0079288941367275,ENSG00000115602.17,IL1RL1,4459
ENSG00000169495.4,131,HTRA4,0.0056304543489041,ENSG00000169495.5,HTRA4,12606
ENSG00000258791.7,130,LINC00520,0.0028847847780336,ENSG00000258791.9,LINC00520,44602
ENSG00000004846.16,128,ABCB5,0.0025446422864933,ENSG00000004846.16,ABCB5,64
ENSG00000019186.9,125,CYP24A1,0.002843303998091,ENSG00000019186.10,CYP24A1,390
ENSG00000158578.18,122,ALAS2,0.0013174606914525,ENSG00000158578.21,ALAS2,10238
ENSG00000205502.3,122,C2CD4B,0.0024435886317724,ENSG00000205502.4,C2CD4B,20203
ENSG00000249928.2,121,UQCRBP3,0.0037572640841386,ENSG00000249928.2,UQCRBP3,38720
ENSG00000134028.14,120,ADAMDEC1,0.0045509000652517,ENSG00000134028.14,ADAMDEC1,6821
ENSG00000214992.6,119,AKAP17BP,0.011141674562555,ENSG00000214992.6,AKAP17BP,22993
ENSG00000072041.16,117,SLC6A15,0.001198201721676,ENSG00000072041.17,SLC6A15,1171
ENSG00000196767.6,117,POU3F4,0.0029900145676342,ENSG00000196767.9,POU3F4,17211
ENSG00000268038.1,114,LINC01785,0.005233794475462,ENSG00000268038.3,LINC01785,49681
ENSG00000171560.14,114,FGA,0.0065649348750969,ENSG00000171560.16,FGA,13090
ENSG00000234859.5,113,AC003958.2,0.0022407497241021,ENSG00000234859.5,AC003958.2,32449
ENSG00000240925.1,110,RPS20P31,0.0101813403432117,ENSG00000240925.1,RPS20P31,35750
ENSG00000227842.1,108,AC093166.2,0.021503470347271,ENSG00000230958.1,AC093166.2,29799
ENSG00000124253.10,105,PCK1,0.000965754805799,ENSG00000124253.11,PCK1,5498
ENSG00000259749.1,105,NCAPGP2,0.0042599869767296,ENSG00000259749.1,NCAPGP2,45415
ENSG00000231512.5,105,LINC01347,0.0048395092802034,ENSG00000214837.8,LINC01347,22934
ENSG00000008196.12,105,TFAP2B,0.0056382863473021,ENSG00000008196.13,TFAP2B,205
ENSG00000242703.1,105,CCT4P1,0.0060201687370769,ENSG00000242703.1,CCT4P1,36481
ENSG00000200879.1,104,SNORD14E,0.001705273433159,ENSG00000200879.1,SNORD14E,18780
ENSG00000242598.1,104,MED28P8,0.0029286738926033,ENSG00000242598.1,MED28P8,36436
ENSG00000155070.8,104,UNC93B2,0.009605969128712,ENSG00000155070.8,UNC93B2,9834
ENSG00000233429.9,102,HOTAIRM1,0.0014547980542174,ENSG00000233429.9,HOTAIRM1,31469
ENSG00000108342.12,102,CSF3,0.0027073053204895,ENSG00000108342.13,CSF3,3510
ENSG00000237372.2,102,UNQ6494,0.0027638368324212,ENSG00000237372.4,UNQ6494,34152
ENSG00000254681.6,102,PKD1P5,0.0042005332043982,ENSG00000254681.6,PKD1P5,42190
ENSG00000228970.6,102,UBTFL6,0.0068678748984076,ENSG00000228970.6,UBTFL6,28430
ENSG00000242258.1,102,LINC00996,0.0070354361785619,ENSG00000242258.1,LINC00996,36297
ENSG00000111537.4,100,IFNG,0.0032396966667142,ENSG00000111537.5,IFNG,3905
ENSG00000210194.1,100,MT-TE,0.0043159000911538,ENSG00000210194.1,MT-TE,21444
ENSG00000199133.3,99,MIRLET7D,0.0063072590622546,ENSG00000199133.3,MIRLET7D,18024
ENSG00000212935.1,98,KRTAP10-3,0.0007676939809135,ENSG00000212935.2,KRTAP10-3,22089
ENSG00000168481.8,98,LGI3,0.0027200367960715,ENSG00000168481.9,LGI3,12365
ENSG00000169877.9,98,AHSP,0.0055763157924942,ENSG00000169877.10,AHSP,12690
ENSG00000179593.15,97,ALOX15B,0.0013500122627918,ENSG00000179593.16,ALOX15B,14703
ENSG00000231106.2,97,LINC01436,0.0022203844777802,ENSG00000231106.2,LINC01436,29899
ENSG00000243173.3,97,RN7SL861P,0.0026654815281367,ENSG00000243173.3,RN7SL861P,36670
ENSG00000189108.12,97,IL1RAPL2,0.0043853428436951,ENSG00000189108.13,IL1RAPL2,16881
ENSG00000170180.19,97,GYPA,0.013208445215404,ENSG00000170180.22,GYPA,12758
ENSG00000145681.10,96,HAPLN1,0.0023822939530487,ENSG00000145681.11,HAPLN1,8723
ENSG00000223949.6,96,ROR1-AS1,0.0028213783754718,ENSG00000223949.8,ROR1-AS1,25018
ENSG00000106341.10,96,PPP1R17,0.0030620207172768,ENSG00000106341.11,PPP1R17,3292
ENSG00000256642.1,96,LINC00273,0.0158378692139032,ENSG00000256642.1,LINC00273,43405
ENSG00000211933.2,95,IGHV6-1,0.0206218933277534,ENSG00000211933.2,IGHV6-1,21726
